Scholarship_Name,Gender,Caste,Religion,Education,Income,ExServicemen,Disability,Sports,Percentage,Status
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,563780,No,Yes,Yes,59.86,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,HSC,251915,No,No,No,44.87,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,352446,No,No,No,57.23,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,949039,No,No,No,85.77,Not Eligible
State Minority Scholarship Part II,Female,Open,Buddhist,SSC,1138347,No,No,No,89.55,Not Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Diploma,147708,No,No,Yes,57.97,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,174365,No,No,No,46.63,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,1192762,No,No,No,53.16,Not Eligible
State Minority Scholarship Part II,Female,Open,Christian,HSC,1089126,No,No,No,62.85,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,541304,No,No,No,41.99,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,145888,No,No,No,53.88,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,1084778,No,No,No,69.99,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,715128,No,Yes,No,40.04,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,624342,No,No,No,62.96,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,335615,No,No,No,75.66,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,612009,No,No,Yes,81.81,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,318227,No,No,No,73.56,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,543640,No,No,No,43.95,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,84462,No,No,No,62.61,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,830088,No,No,No,85.05,Not Eligible
